汕头,#genre#
汕头综合,http://tv.ilovest.xyz/st.php?id=st1
汕头经济生活,http://tv.ilovest.xyz/st.php?id=st2

中国央视,#genre#
CCTV-1 综合 HD,http://tv.ilovest.xyz/Smart.php?id=cctv1
CCTV-2 财经,http://tv.ilovest.xyz/Smart.php?id=cctv2
CCTV-3 综艺 HD,http://tv.ilovest.xyz/Smart.php?id=cctv3
CCTV-4 中文国际,http://tv.ilovest.xyz/Smart.php?id=cctv4
CCTV4 新闻台,http://tv.ilovest.xyz/Smart.php?id=Cctv4
CCTV-7 军事农业,http://tv.ilovest.xyz/Smart.php?id=cctv7
CCTV-8 电视剧 HD,http://tv.ilovest.xyz/Smart.php?id=cctv8hd
CCTV-9 记录 HD,http://tv.ilovest.xyz/Smart.php?id=cctv9hd
CCTV-10 科教 HD,http://tv.ilovest.xyz/Smart.php?id=cctv10hd
CCTV-11 戏曲,http://tv.ilovest.xyz/Smart.php?id=cctv11
CCTV-12 社会与法,http://tv.ilovest.xyz/Smart.php?id=cctv12
CCTV-13 新闻频道,http://tv.ilovest.xyz/Smart.php?id=cctv13
CCTV-14 少儿,http://tv.ilovest.xyz/Smart.php?id=cctv14
CCTV-6,http://tv.ilovest.xyz/Smart.php?id=cctv6
CCTV-15 音乐,http://tv.ilovest.xyz/Smart.php?id=cctv15
CCTV-5 体育频道,http://tv.ilovest.xyz/Smart.php?id=cctv5
CCTV-5+ 体育赛事 HD,http://tv.ilovest.xyz/Smart.php?id=cctv5plus
CGTN,http://tv.ilovest.xyz/Smart.php?id=CGTN

中国卫视,#genre#
湖南卫视,http://tv.ilovest.xyz/Smart.php?id=hunan_twn
浙江卫视,http://tv.ilovest.xyz/Smart.php?id=zhejiang_twn
江苏卫视,http://tv.ilovest.xyz/Smart.php?id=jiangsu_twn
深圳卫视,http://tv.ilovest.xyz/Smart.php?id=shenzhen
福建东南卫视,http://tv.ilovest.xyz/Smart.php?id=fujian
广东南方卫视,http://tv.ilovest.xyz/Smart.php?id=nanfang_twn
广东卫视,http://tv.ilovest.xyz/Smart.php?id=guangdongweishi_twn
北京卫视,http://tv.ilovest.xyz/Smart.php?id=beijing
珠江台,http://tv.ilovest.xyz/Smart.php?id=zhujiang
广西卫视,http://tv.ilovest.xyz/Smart.php?id=guangxi
湖北卫视,http://tv.ilovest.xyz/Smart.php?id=hubei
四川卫视,http://tv.ilovest.xyz/Smart.php?id=sichuan_twn
东方卫视,http://tv.ilovest.xyz/Smart.php?id=dongfangweishi_twn

香港频道,#genre#
翡翠台,http://tv.ilovest.xyz/Smart.php?id=jade_twn
翡翠台 backup,http://tv.ilovest.xyz/Smart.php?id=Jade_xue
iNews 新闻台,http://tv.ilovest.xyz/Smart.php?id=inews_twn
J 2,http://tv.ilovest.xyz/Smart.php?id=j2_twn
珍珠台,http://tv.ilovest.xyz/Smart.php?id=pearl_twn
凤凰香港,http://tv.ilovest.xyz/Smart.php?id=hkphoenix_twn
HOY资讯台,http://tv.ilovest.xyz/Smart.php?id=hoycaijing_twn
RHK 31,http://tv.ilovest.xyz/Smart.php?id=rhk31_twn
VIUTV1,http://tv.ilovest.xyz/Smart.php?id=viu1_twn
RHK 32,http://tv.ilovest.xyz/Smart.php?id=rhk32_twn
凤凰卫视,http://tv.ilovest.xyz/Smart.php?id=phoenixtv_hd
凤凰资讯,http://tv.ilovest.xyz/Smart.php?id=phoenixinfo_hd
Viu6,http://tv.ilovest.xyz/Smart.php?id=viusix_twn

台湾频道,#genre#
TVBS News 新闻台,http://tv.ilovest.xyz/Smart.php?id=tvbs_n
TVBS 欢乐台 （备份）,http://tv.ilovest.xyz/Smart.php?id=tvbshuanle_twn
TVBS HD,http://tv.ilovest.xyz/Smart.php?id=tvbs
中天新闻 HD,http://tv.ilovest.xyz/Smart.php?id=ctinews
中天娱乐 CTI Entertaiment,http://tv.ilovest.xyz/Smart.php?id=ctient
中天综合 CTI Metro,http://tv.ilovest.xyz/Smart.php?id=ctizhonghe
中天亚洲台,http://tv.ilovest.xyz/Smart.php?id=ctiasia_twn
台视 TTV HD,http://tv.ilovest.xyz/Smart.php?id=ttv_taiwan
台视新闻台,http://tv.ilovest.xyz/Smart.php?id=ttvnews_twn
台视综合台,http://tv.ilovest.xyz/Smart.php?id=ttvzhonghe
中视 HD,http://tv.ilovest.xyz/Smart.php?id=zhongshihd_twn
中视新闻台,http://tv.ilovest.xyz/Smart.php?id=zhongshinews_twn
民视 HD,http://tv.ilovest.xyz/Smart.php?id=ftvhd_taiwan
民视新闻台 FTV News,http://tv.ilovest.xyz/Smart.php?id=ftvnew_taiwan
民视台湾台,http://tv.ilovest.xyz/Smart.php?id=ftvtaiwan_twn
华视 CTS HD,http://tv.ilovest.xyz/Smart.php?id=ctshd_twn
公视 CTV,http://tv.ilovest.xyz/Smart.php?id=ctv18_twn
八大第一 GTV First,http://tv.ilovest.xyz/Smart.php?id=badafirst
八大综合 GTV Metro,http://tv.ilovest.xyz/Smart.php?id=badazhonghe
八大戏剧 GTV Drama,http://tv.ilovest.xyz/Smart.php?id=badadrama
八大娱乐 GTV Entertainment,http://tv.ilovest.xyz/Smart.php?id=badaentertain
HBO_HD,http://tv.ilovest.xyz/Smart.php?id=hbohd_twn
HBO_HITS,http://tv.ilovest.xyz/Smart.php?id=hbohit_twn
Hollywood Movies,http://tv.ilovest.xyz/Smart.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://tv.ilovest.xyz/Smart.php?id=sanlitaiwan
